date,height,highlow
04/13/2018 01:41 PM,1.35,H
04/13/2018 07:05 PM,0.1,L
04/14/2018 01:38 AM,1.48,H
04/14/2018 07:27 AM,-0.1,L
04/14/2018 02:17 PM,1.54,H
04/14/2018 07:51 PM,0.09,L
04/15/2018 02:08 AM,1.38,H
04/15/2018 07:54 AM,-0.18,L
04/15/2018 02:54 PM,1.7,H
04/15/2018 08:39 PM,0.12,L
04/16/2018 02:38 AM,1.25,H
04/16/2018 08:22 AM,-0.23,L
04/16/2018 03:35 PM,1.83,H
04/16/2018 09:30 PM,0.17,L
04/17/2018 03:10 AM,1.08,H
04/17/2018 08:54 AM,-0.24,L
04/17/2018 04:20 PM,1.91,H
04/17/2018 10:28 PM,0.23,L
04/18/2018 03:45 AM,0.9,H
04/18/2018 09:28 AM,-0.22,L
04/18/2018 05:10 PM,1.94,H
04/18/2018 11:36 PM,0.3,L
04/19/2018 04:23 AM,0.73,H
04/19/2018 10:06 AM,-0.17,L
04/19/2018 06:08 PM,1.92,H
04/20/2018 01:01 AM,0.33,L
04/20/2018 05:12 AM,0.57,H
04/20/2018 10:52 AM,-0.07,L
04/20/2018 07:15 PM,1.88,H
04/21/2018 02:48 AM,0.3,L
04/21/2018 06:49 AM,0.46,H
04/21/2018 11:52 AM,0.04,L
04/21/2018 08:29 PM,1.83,H
04/22/2018 04:12 AM,0.23,L
04/22/2018 09:08 AM,0.49,H
04/22/2018 01:15 PM,0.16,L
04/22/2018 09:40 PM,1.79,H
04/23/2018 04:58 AM,0.14,L
04/23/2018 10:39 AM,0.66,H
04/23/2018 02:50 PM,0.22,L
04/23/2018 10:41 PM,1.76,H
04/24/2018 05:30 AM,0.07,L
04/24/2018 11:39 AM,0.89,H
04/24/2018 04:16 PM,0.23,L
04/24/2018 11:32 PM,1.69,H
04/25/2018 05:58 AM,-0.01,L
04/25/2018 12:26 PM,1.13,H
04/25/2018 05:27 PM,0.21,L
04/26/2018 12:15 AM,1.6,H
04/26/2018 06:23 AM,-0.08,L
04/26/2018 01:08 PM,1.37,H
04/26/2018 06:26 PM,0.2,L
04/27/2018 12:53 AM,1.48,H
04/27/2018 06:48 AM,-0.14,L
04/27/2018 01:46 PM,1.58,H
04/27/2018 07:19 PM,0.19,L
04/28/2018 01:28 AM,1.33,H
04/28/2018 07:12 AM,-0.19,L
04/28/2018 02:23 PM,1.75,H
04/28/2018 08:08 PM,0.2,L
04/29/2018 02:00 AM,1.18,H
04/29/2018 07:37 AM,-0.21,L
04/29/2018 02:59 PM,1.87,H
04/29/2018 08:56 PM,0.22,L
04/30/2018 02:31 AM,1.02,H
04/30/2018 08:03 AM,-0.21,L
04/30/2018 03:35 PM,1.94,H
04/30/2018 09:44 PM,0.25,L
05/01/2018 03:01 AM,0.88,H
05/01/2018 08:30 AM,-0.18,L
05/01/2018 04:12 PM,1.95,H
05/01/2018 10:35 PM,0.28,L
05/02/2018 03:32 AM,0.74,H
05/02/2018 08:58 AM,-0.12,L
05/02/2018 04:51 PM,1.91,H
05/02/2018 11:31 PM,0.32,L
05/03/2018 04:04 AM,0.63,H
05/03/2018 09:28 AM,-0.04,L
05/03/2018 05:34 PM,1.84,H
05/04/2018 12:38 AM,0.34,L
05/04/2018 04:40 AM,0.53,H
05/04/2018 10:02 AM,0.06,L
05/04/2018 06:23 PM,1.74,H
05/05/2018 02:02 AM,0.35,L
05/05/2018 05:43 AM,0.46,H
05/05/2018 10:42 AM,0.17,L
05/05/2018 07:21 PM,1.65,H
05/06/2018 03:28 AM,0.31,L
05/06/2018 08:09 AM,0.46,H
05/06/2018 11:39 AM,0.28,L
05/06/2018 08:24 PM,1.57,H
05/07/2018 04:13 AM,0.27,L
05/07/2018 09:59 AM,0.57,H
05/07/2018 01:04 PM,0.38,L
05/07/2018 09:25 PM,1.51,H
05/08/2018 04:39 AM,0.21,L
05/08/2018 10:59 AM,0.74,H
05/08/2018 02:40 PM,0.43,L
05/08/2018 10:17 PM,1.47,H
05/09/2018 05:00 AM,0.15,L
05/09/2018 11:41 AM,0.94,H
05/09/2018 04:03 PM,0.42,L
05/09/2018 11:01 PM,1.43,H
